geocode,season_end_year,disease,total_cases_L1,peak_week,R0,alpha,beta,gamma,duration_weeks,rmse,success
1100304,2014,dengue,68.86217506116668,201418,1.2281900259529774,0.18579374618835576,0.4053027085600872,0.32999999999642127,50,0.18468076090733307,True
1100304,2015,dengue,312.90510447348163,201515,1.4838633122172735,0.32608347967998286,0.44519483553060524,0.3000241544252278,44,1.3421816645936118,True
1100304,2016,dengue,361.52248653914575,201607,1.861479585511139,0.4627929267752821,0.5584438756535606,0.30000000000011756,26,0.5874161449718265,True
1100304,2020,dengue,1094.7913484516248,202013,1.8638516402997123,0.46347661027398224,0.5591554920913759,0.30000000000078453,27,16.974553215639787,True
1100304,2021,dengue,109.97631886039018,202112,1.3808114258525899,0.2757881479851283,0.41424429279058517,0.3000006264684605,44,0.15665832462225995,True
1100304,2022,dengue,623.7811075499941,202224,1.4243695059097399,0.29793498396941354,0.42747998814061844,0.3001187447266982,47,6.335058000085973,True
1100304,2023,dengue,1877.8149029075578,202308,1.5055828911345523,0.33580541736467495,0.4516748673438043,0.3000000000022839,35,81.36258672782022,True
1100304,2024,dengue,383.23995569520304,202415,1.3870540231358441,0.27904754730518316,0.41886006826731026,0.30197819355323574,46,3.3817475457010437,True
1100304,2025,dengue,421.0583988973136,202518,1.4177375845556044,0.294650850133557,0.4253838502874988,0.3000441371672016,48,3.8202358791144344,True
1100320,2011,dengue,46.21007398732135,201101,1.504090376226065,0.33514633441833824,0.4512271128711174,0.3000000000021926,28,0.3755953663843686,True
1100320,2012,dengue,91.12242038886876,201152,2.252310798810114,0.5560115413342175,0.6756932396430797,0.3000000000000202,18,0.13252928048374993,True
1100320,2013,dengue,121.29182206032924,201304,3.0552101973049566,0.6726902781084869,0.9165630591937112,0.300000000000728,11,0.7237260546247825,True
1100320,2020,dengue,93.65172903958072,202017,1.5068945361506867,0.33638355172853207,0.4520911622913707,0.30001513141471925,43,0.8087999745802117,True
1100320,2022,dengue,97.41484254548308,202202,2.526109408463177,0.60413432741681,0.7580443713181292,0.3000837448997527,15,0.9648584169122608,True
1100320,2024,dengue,52.40711537611956,202408,4.030303030294682,0.7518796992476063,1.3299999999959877,0.329999999999688,7,0.19898046416023754,True
1100338,2013,dengue,86.70165879662815,201318,1.591141362191861,0.371520328889911,0.4773489287952435,0.30000409777398795,37,0.7501068444706133,True
